 ;Total;
 ;Price;Volume
Time;USD;BTC
01.07.2012 00:00;40.3;4862.60397203
02.07.2012 00:00;6.61;11940.2404054
03.07.2012 00:00;6.399;5932.74369849
04.07.2012 00:00;6.39;5885.47367342
05.07.2012 00:00;6.535;5779.78510228
06.07.2012 00:00;6.59;4976.42554576
07.07.2012 00:00;6.79;4856.4380194
08.07.2012 00:00;6.643;3523.03993225
09.07.2012 00:00;6.5999127665;13082.284871
10.07.2012 00:00;45.5;8720.44614994
11.07.2012 00:00;7.14;3245.41086902
12.07.2012 00:00;47.89;6217.90115691
13.07.2012 00:00;7.407;4800.02350838
14.07.2012 00:00;7.49;1743.07910601
15.07.2012 00:00;7.41;2409.42802133
16.07.2012 00:00;41.9114446052;8854.16291095
17.07.2012 00:00;8.4502060454;10346.8229402
18.07.2012 00:00;8.9;10839.8051856
19.07.2012 00:00;8.76;6133.46983353
20.07.2012 00:00;8.411;6445.51909552
21.07.2012 00:00;8.74;5599.33728776
22.07.2012 00:00;8.42;2915.01221487
23.07.2012 00:00;54.999455556;10466.8841258
24.07.2012 00:00;8.61;5839.21434593
25.07.2012 00:00;8.57908333333;5305.89610271
26.07.2012 00:00;8.699;4261.83052031
27.07.2012 00:00;8.726;3076.25475893
28.07.2012 00:00;8.614;3665.12539555
29.07.2012 00:00;8.5840135819;1772.68860204
30.07.2012 00:00;57.5;10167.4620854
31.07.2012 00:00;9.28;3914.29885951
01.08.2012 00:00;60.01;10079.455999
02.08.2012 00:00;66.2;8521.87235906
03.08.2012 00:00;10.7734610561;8424.22998963
04.08.2012 00:00;10.582;5346.66915422
05.08.2012 00:00;68.5;8527.95513525
06.08.2012 00:00;70.1;8016.76970545
07.08.2012 00:00;10.7400516775;7777.2224823
08.08.2012 00:00;10.816;4991.12624047
09.08.2012 00:00;70.52;9679.8941091
10.08.2012 00:00;58.660036036;10956.6512585
11.08.2012 00:00;11.281;1810.55928398
12.08.2012 00:00;11.41;3346.34550179
13.08.2012 00:00;75.573888889;11382.8065228
14.08.2012 00:00;77.1;6070.10613382
15.08.2012 00:00;83.9975;7249.89486042
16.08.2012 00:00;13.151;9368.42997437
17.08.2012 00:00;12.5;18098.3120617
18.08.2012 00:00;11.301;6375.63788269
19.08.2012 00:00;7.85;14107.496658
20.08.2012 00:00;9.7;14004.3376088
21.08.2012 00:00;65.41;7822.24408447
22.08.2012 00:00;64.00028;12118.6423335
23.08.2012 00:00;9.827743751;4753.9689047
24.08.2012 00:00;10.709;9403.88412894
25.08.2012 00:00;10.58;3949.16916037
26.08.2012 00:00;10.556;3254.88485749
27.08.2012 00:00;10.881832834;14365.5618609
28.08.2012 00:00;70.0;10365.7760304
29.08.2012 00:00;70.0447494151;6542.77793624
30.08.2012 00:00;10.65;4147.17880845
31.08.2012 00:00;10.0;6225.225855
01.09.2012 00:00;9.95;2629.77676544
02.09.2012 00:00;10.18;3582.7327736
03.09.2012 00:00;10.6207744553;3086.42399111
04.09.2012 00:00;10.291;4710.61837356
05.09.2012 00:00;10.82;6482.42389252
