Timestamp;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price;
28.01.2015 15:00;252.79;252.79;252.79;252.79;0.07;16.94;252.79;
28.01.2015 15:01;252.79;252.79;252.78;252.78;0.12;31.28;252.79;
28.01.2015 15:02;252.78;252.78;252.78;252.78;0.15;39;252.78;
28.01.2015 15:03;252.48;252.74;252.39;252.49;5.71;1440.89;252.47;
28.01.2015 15:04;252.76;252.76;252.49;252.49;1.71;432.3;252.53;
28.01.2015 15:05;0;0;0;0;0;0;0;
28.01.2015 15:06;0;0;0;0;0;0;0;
28.01.2015 15:07;252.75;253;252.75;253;16.82;4253.85;252.89;
28.01.2015 15:08;253;253;252.79;252.79;7.1;1795.13;252.98;
28.01.2015 15:09;253;253.06;253;253.06;4.45;1127.1;253;
28.01.2015 15:10;253.36;253.39;253.35;253.39;23.97;6073.84;253.38;
28.01.2015 15:11;253.39;253.39;253.39;253.39;0.49;124.09;253.39;
28.01.2015 15:12;253.37;253.37;253.37;253.37;1.23;311.65;253.37;
28.01.2015 15:13;253.37;253.37;253.37;253.37;0.75;190.03;253.37;
28.01.2015 15:14;253.39;253.39;253.39;253.39;0.61;153.55;253.39;
28.01.2015 15:15;253.37;253.37;253.37;253.37;0.5;126.69;253.37;
28.01.2015 15:16;253.39;253.4;253.39;253.4;7.57;1918.13;253.39;
28.01.2015 15:17;253.4;253.4;253.4;253.4;14.29;3622.21;253.4;
28.01.2015 15:18;253.48;253.48;253.48;253.48;0.03;7.6;253.48;
28.01.2015 15:19;253.48;253.48;253.48;253.48;1.73;438.78;253.48;
28.01.2015 15:20;253.48;253.48;253.48;253.48;9.75;2471.02;253.48;
28.01.2015 15:21;253.39;253.39;253.37;253.37;2.5;633.43;253.37;
28.01.2015 15:22;253.38;253.38;252.76;252.76;6.51;1647.24;252.99;
28.01.2015 15:23;253.46;253.99;253.46;253.99;41;10405.09;253.78;
28.01.2015 15:24;253.96;253.99;253.96;253.99;5.74;1458.35;253.99;
28.01.2015 15:25;253.99;253.99;253.99;253.99;0.23;59.08;253.99;
28.01.2015 15:26;253.99;253.99;253.99;253.99;0.21;52.45;253.99;
28.01.2015 15:27;253.26;253.26;253.24;253.24;2.46;624.04;253.25;
28.01.2015 15:28;253.5;253.5;253.5;253.5;5.48;1389.47;253.5;
28.01.2015 15:29;253.97;254.49;253.89;254.49;94.29;23958.59;254.08;
28.01.2015 15:30;254.49;254.88;254.49;254.87;21.99;5597.08;254.55;
28.01.2015 15:31;254.87;254.88;254.86;254.87;8.61;2194.07;254.87;
28.01.2015 15:32;254.24;254.88;254.24;254.85;7.33;1868.5;254.85;
28.01.2015 15:33;254.3;254.73;254.3;254.73;0.89;227.44;254.32;
28.01.2015 15:34;254.72;254.72;254.36;254.67;9.2;2340.78;254.51;
28.01.2015 15:35;254.71;254.71;254.36;254.41;5.72;1454.08;254.39;
28.01.2015 15:36;254.66;254.66;254.42;254.64;1.94;494.77;254.65;
28.01.2015 15:37;254.69;254.69;254.69;254.69;0.2;49.75;254.69;
28.01.2015 15:38;254.71;254.71;254.5;254.5;0.62;158.82;254.65;
28.01.2015 15:39;254.33;254.7;254.33;254.7;1.41;359.89;254.52;
28.01.2015 15:40;254.71;254.71;254.71;254.71;9.93;2528.51;254.71;
28.01.2015 15:41;254.71;254.71;254.3;254.3;13.54;3443.48;254.38;
