Date;CNY
21.12.12 0:00;6,2286
22.12.12 0:00;6,2286
23.12.12 0:00;6,2286
24.12.12 0:00;6,2336
25.12.12 0:00;6,2339
26.12.12 0:00;6,2353
27.12.12 0:00;6,236
28.12.12 0:00;6,2317
29.12.12 0:00;6,2317
30.12.12 0:00;6,2317
31.12.12 0:00;6,2303
01.01.13 0:00;6,2303
02.01.13 0:00;6,2303
03.01.13 0:00;6,2303
04.01.13 0:00;6,2305
05.01.13 0:00;6,2305
06.01.13 0:00;6,2305
07.01.13 0:00;6,2296
08.01.13 0:00;6,2241
09.01.13 0:00;6,2262
10.01.13 0:00;6,2237
11.01.13 0:00;6,2161
12.01.13 0:00;6,2161
13.01.13 0:00;6,2161
14.01.13 0:00;6,2192
15.01.13 0:00;6,2136
16.01.13 0:00;6,2165
17.01.13 0:00;6,216
18.01.13 0:00;6,2154
19.01.13 0:00;6,2154
20.01.13 0:00;6,2154
21.01.13 0:00;6,2213
22.01.13 0:00;6,2198
23.01.13 0:00;6,218
24.01.13 0:00;6,2181
25.01.13 0:00;6,2205
26.01.13 0:00;6,2205
27.01.13 0:00;6,2205
28.01.13 0:00;6,2226
29.01.13 0:00;6,2243
30.01.13 0:00;6,2205
31.01.13 0:00;6,2188
01.02.13 0:00;6,2274
02.02.13 0:00;6,2274
03.02.13 0:00;6,2274
04.02.13 0:00;6,2328
05.02.13 0:00;6,2294
06.02.13 0:00;6,2317
07.02.13 0:00;6,2325
08.02.13 0:00;6,2325
09.02.13 0:00;6,2325
10.02.13 0:00;6,2325
11.02.13 0:00;6,2325
12.02.13 0:00;6,2325
13.02.13 0:00;6,2325
14.02.13 0:00;6,2325
15.02.13 0:00;6,2325
16.02.13 0:00;6,2325
17.02.13 0:00;6,2325
18.02.13 0:00;6,2427
19.02.13 0:00;6,2443
20.02.13 0:00;6,2376
21.02.13 0:00;6,2405
22.02.13 0:00;6,2351
23.02.13 0:00;6,2351
24.02.13 0:00;6,2351
25.02.13 0:00;6,2339
26.02.13 0:00;6,2295
27.02.13 0:00;6,2273
28.02.13 0:00;6,2214
01.03.13 0:00;6,2226
02.03.13 0:00;6,2226
03.03.13 0:00;6,2226
04.03.13 0:00;6,2251
05.03.13 0:00;6,221
06.03.13 0:00;6,2181
07.03.13 0:00;6,2202
08.03.13 0:00;6,2147
09.03.13 0:00;6,2147
10.03.13 0:00;6,2147
11.03.13 0:00;6,2181
12.03.13 0:00;6,2162
13.03.13 0:00;6,2138
14.03.13 0:00;6,2155
15.03.13 0:00;6,2135
16.03.13 0:00;6,2135
17.03.13 0:00;6,2135
18.03.13 0:00;6,2158
19.03.13 0:00;6,2157
20.03.13 0:00;6,2119
21.03.13 0:00;6,2143
22.03.13 0:00;6,2122
23.03.13 0:00;6,2122
24.03.13 0:00;6,2122
25.03.13 0:00;6,2107
26.03.13 0:00;6,211
27.03.13 0:00;6,214
28.03.13 0:00;6,2145
29.03.13 0:00;6,2108
30.03.13 0:00;6,2108
31.03.13 0:00;6,2108
01.04.13 0:00;6,208
02.04.13 0:00;6,1986
03.04.13 0:00;6,201
04.04.13 0:00;6,2015
05.04.13 0:00;6,2015
06.04.13 0:00;6,2015
07.04.13 0:00;6,2015
08.04.13 0:00;6,2033
09.04.13 0:00;6,2025
10.04.13 0:00;6,1941
11.04.13 0:00;6,1964
12.04.13 0:00;6,1919
13.04.13 0:00;6,1919
14.04.13 0:00;6,1919
15.04.13 0:00;6,1867
16.04.13 0:00;6,1828
17.04.13 0:00;6,1723
18.04.13 0:00;6,1813
19.04.13 0:00;6,1776
20.04.13 0:00;6,1776
21.04.13 0:00;6,1776
22.04.13 0:00;6,1826
23.04.13 0:00;6,1792
24.04.13 0:00;6,1786
25.04.13 0:00;6,1711
26.04.13 0:00;6,165
27.04.13 0:00;6,165
28.04.13 0:00;6,165
29.04.13 0:00;6,165
30.04.13 0:00;6,165
01.05.13 0:00;6,165
02.05.13 0:00;6,1558
03.05.13 0:00;6,1557
04.05.13 0:00;6,1557
05.05.13 0:00;6,1557
06.05.13 0:00;6,1667
07.05.13 0:00;6,1541
08.05.13 0:00;6,1411
09.05.13 0:00;6,1309
